,state,county,biden_count,trump_count,total_count,dem20_pct,rep20_pct
88,GA,Liberty,13051,7944,21326,61.19759917471631,37.250304792272345
89,GA,Lincoln,1435,3179,4650,30.86021505376344,68.36559139784947
90,GA,Long,2033,3528,5656,35.94413012729844,62.37623762376238
91,GA,Lowndes,20117,25691,46355,43.3976917268903,55.42228454319922
92,GA,Lumpkin,3126,12163,15531,20.127486961560752,78.31433906380786
93,GA,McDuffie,4168,6169,10455,39.866092778574846,59.005260640841705
94,GA,McIntosh,2612,4016,6696,39.00836320191159,59.976105137395464
95,GA,Macon,2857,1783,4662,61.282711282711276,38.24538824538825
96,GA,Madison,3411,11326,14937,22.83591082546696,75.82513222199906
97,GA,Marion,1311,2275,3624,36.175496688741724,62.77593818984547
98,GA,Meriwether,4287,6524,10877,39.41344120621495,59.97977383469707
99,GA,Miller,749,2066,2835,26.41975308641975,72.87477954144622
100,GA,Mitchell,3995,4935,8963,44.57212986723195,55.05968983599241
101,GA,Monroe,4384,11060,15592,28.116983068240124,70.93381221139046
102,GA,Montgomery,979,2960,3966,24.684820978315685,74.63439233484618
103,GA,Morgan,3355,8230,11707,28.658067822670198,70.2998206201418
104,GA,Murray,2302,12943,15389,14.958736760023395,84.10552992397167
105,GA,Muscogee,49529,30049,80543,61.49386042238307,37.3080218020188
106,GA,Newton,29794,23869,54239,54.93095374177253,44.00707977654456
107,GA,Oconee,8162,16595,25168,32.43006993006993,65.93690400508582
108,GA,Oglethorpe,2436,5593,8131,29.959414586151766,68.78612716763006
109,GA,Paulding,29704,54525,85385,34.788311764361424,63.8578204602682
110,GA,Peach,5920,6502,12545,47.19011558389797,51.82941410920685
111,GA,Pickens,2808,14075,17116,16.405702266884788,82.23299836410376
112,GA,Pierce,1100,7899,9048,12.157382847038019,87.30106100795756
113,GA,Pike,1505,9127,10720,14.039179104477611,85.13992537313433
114,GA,Polk,3658,13589,17399,21.024196792919135,78.1021897810219
115,GA,Pulaski,1217,2805,4059,29.982754372998276,69.10569105691057
116,GA,Putnam,3448,8291,11855,29.084774356811472,69.9367355546183
117,GA,Quitman,497,604,1106,44.936708860759495,54.61121157323689
118,GA,Rabun,1984,7474,9568,20.735785953177256,78.11454849498328
119,GA,Randolph,1671,1391,3074,54.359141184124915,45.25048796356539
120,GA,Richmond,59124,26781,87016,67.94612485060219,30.777098464650177
121,GA,Rockdale,31244,13012,44686,69.91899028778589,29.11873965000224
122,GA,Schley,462,1800,2275,20.307692307692307,79.12087912087912
123,GA,Screven,2661,3916,6628,40.14785757392879,59.082679541339765
124,GA,Seminole,1254,2611,3884,32.286302780638515,67.22451081359424
125,GA,Spalding,11784,18057,30116,39.12870235090982,59.95816177447204
126,GA,Stephens,2385,9368,11885,20.06731173748422,78.82204459402608
127,GA,Stewart,1182,801,1990,59.39698492462312,40.25125628140703
128,GA,Sumter,6318,5732,12150,52.0,47.17695473251029
129,GA,Talbot,2114,1392,3522,60.02271436683703,39.522998296422486
130,GA,Taliaferro,561,360,928,60.452586206896555,38.793103448275865
131,GA,Tattnall,2061,6053,8183,25.186361969937675,73.97042649395087
132,GA,Taylor,1387,2418,3839,36.1292003125814,62.98515238343319
133,GA,Telfair,1487,2825,4333,34.318024463420265,65.19732287099006
134,GA,Terrell,2376,2004,4416,53.80434782608695,45.380434782608695
135,GA,Thomas,8708,12954,21853,39.848075779069234,59.277902347503776
136,GA,Tift,5322,10784,16283,32.68439476754898,66.2285819566419
137,GA,Toombs,2939,7872,10914,26.9287154113982,72.12754260582737
138,GA,Towns,1550,6384,7979,19.425993232234614,80.0100263190876
139,GA,Treutlen,952,2101,3077,30.939226519337016,68.28079298017549
140,GA,Troup,11585,18146,30059,38.54086962307462,60.367943045344155
141,GA,Turner,1410,2349,3792,37.18354430379747,61.94620253164557
142,GA,Twiggs,2044,2370,4444,45.994599459945995,53.33033303330333
143,GA,Union,2801,12651,15560,18.0012853470437,81.30462724935732
144,GA,Upson,4201,8608,12905,32.55327392483534,66.70282836110036
145,GA,Walker,5769,23174,29354,19.653198882605437,78.94665122300198
146,GA,Walton,12634,37617,50812,24.864205305833266,74.03172478941981
147,GA,Ware,4249,9930,14296,29.72160044767767,69.4599888080582
148,GA,Warren,1488,1177,2681,55.501678478179784,43.901529280119355
149,GA,Washington,4730,4663,9459,50.005285971032876,49.296965852627125
150,GA,Wayne,2687,9987,12778,21.028329942087964,78.15777116919705
151,GA,Webster,639,748,1390,45.97122302158274,53.81294964028777
152,GA,Wheeler,689,1583,2285,30.153172866520787,69.27789934354486
153,GA,White,2411,12222,14816,16.272948164146868,82.49190064794817
154,GA,Whitfield,10670,25636,36746,29.037174114189302,69.76541664398846
155,GA,Wilcox,862,2403,3281,26.27247790307833,73.23986589454434
156,GA,Wilkes,2159,2823,5029,42.93100019884669,56.13442036190097
157,GA,Wilkinson,2075,2664,4770,43.50104821802935,55.84905660377358
158,GA,Worth,2395,6831,9286,25.79151410725824,73.562351927633
0,AZ,Apache,22730,11240,34397,66.08134430328226,32.677268366427306
1,AZ,Cochise,23370,34309,58794,39.74895397489539,58.35459400619111
2,AZ,Coconino,44609,27043,73174,60.96291032333889,36.957115915489105
3,AZ,Gila,8943,18377,27662,32.32954956257682,66.43409731761984
4,AZ,Graham,4034,10747,14993,26.905889415060365,71.68011738811445
5,AZ,Greenlee,1182,2433,3685,32.07598371777476,66.02442333785618
6,AZ,La Paz,2236,5129,7458,29.981228211316708,68.77178868329311
7,AZ,Maricopa,1038364,993691,2063663,50.31654877758627,48.151805793872356
8,AZ,Mohave,24831,78535,104668,23.723583139068293,75.03248366262851
9,AZ,Navajo,23383,27657,51767,45.169702706357334,53.4259277145672
10,AZ,Pima,303405,205736,516716,58.71794177072125,39.816069175330355
11,AZ,Pinal,75106,107077,184974,40.603544281899076,57.887595013353234
12,AZ,Santa Cruz,13138,6194,19556,67.18142769482512,31.673143792186544
13,AZ,Yavapai,49602,91527,143221,34.63318926693711,63.906131084128724
14,AZ,Yuma,31562,35766,68427,46.12506759027869,52.26884124687623
0,PA,Adams,18254,37567,56635,32.23095259115388,66.3317736382096
1,PA,Allegheny,428876,282170,719387,59.61686825032979,39.22367237662065
2,PA,Armstrong,8417,27340,36178,23.26552048206092,75.57078887721819
3,PA,Beaver,37747,54108,93083,40.55198049052996,58.128766799523
4,PA,Bedford,4367,23025,27574,15.837383041996084,83.50257488938855
5,PA,Berks,89530,105941,198260,45.157873499445174,53.43538787450822
6,PA,Blair,17425,44714,62784,27.75388634046891,71.21878185524974
7,PA,Bradford,8044,21586,30143,26.686129449623465,71.61198288159771
8,PA,Bucks,201768,184440,390316,51.693499625944106,47.254019819838284
9,PA,Butler,36534,73023,110960,32.9253785147801,65.81020187454939
10,PA,Cambria,21752,48094,70605,30.808016429431344,68.11698888180725
11,PA,Cameron,634,1771,2434,26.047658175842237,72.7608874281019
12,PA,Carbon,11083,21773,33285,33.297281057533425,65.4138500826198
13,PA,Centre,40054,36371,77490,51.68925022583559,46.9363788875984
14,PA,Chester,179065,126844,309424,57.870430218729,40.99358808625058
15,PA,Clarion,4671,14550,19458,24.00555041628122,74.77644156645081
16,PA,Clearfield,9598,28984,39124,24.532256415499436,74.08240466209999
17,PA,Clinton,5501,11897,17619,31.221976275611556,67.52369600998922
18,PA,Columbia,10289,19752,30569,33.65828126533416,64.61447872027217
19,PA,Crawford,12610,28002,41125,30.66261398176292,68.08996960486323
20,PA,Cumberland,62237,77212,141587,43.956719190321145,54.53325517173187
21,PA,Dauphin,77397,65154,144482,53.56861062277653,45.09489071303
22,PA,Delaware,203601,117843,324401,62.76213698478118,36.32633684853006
23,PA,Elk,4517,12134,16895,26.735720627404557,71.82006510802013
24,PA,Erie,68336,66912,137184,49.81338931653837,48.775367389783064
25,PA,Fayette,19518,39978,59941,32.56201931899702,66.6955839909244
26,PA,Forest,715,1864,2613,27.363184079601986,71.33562954458476
27,PA,Franklin,22468,57308,80896,27.773931962025316,70.84157436708861
28,PA,Fulton,1085,6824,7978,13.599899724241665,85.53522186011531
29,PA,Greene,4900,12556,17635,27.785653529912107,71.19931953501559
30,PA,Huntingdon,5448,17059,22793,23.902075198525864,74.84315359978942
31,PA,Indiana,12634,28087,41196,30.668026021943877,68.17894941256432
32,PA,Jefferson,4498,17928,22761,19.76187337990422,78.76631079478055
33,PA,Juniata,2253,9648,12042,18.709516691579474,80.11958146487295
34,PA,Lackawanna,61124,51501,113695,53.761379128369754,45.297506486652885
35,PA,Lancaster,115294,159902,279357,41.27120494564303,57.23930311393664
36,PA,Lawrence,15772,29290,45558,34.619605777250975,64.29167215417709
37,PA,Lebanon,23646,46267,70890,33.35590351248413,65.26590492312033
38,PA,Lehigh,95889,82287,180284,53.187748219475935,45.64298551174813
39,PA,Luzerne,64507,86701,152719,42.23901413707528,56.77158703239282
40,PA,Lycoming,16961,41439,59221,28.640178315124704,69.97348913392209
41,PA,McKean,5076,14067,19427,26.12858392958254,72.40953312400268
42,PA,Mercer,20426,35282,56420,36.20347394540943,62.53456221198157
43,PA,Mifflin,4599,16663,21491,21.39965566981527,77.53478200176818
44,PA,Monroe,43844,38640,83499,52.50841327441047,46.27600330542881
45,PA,Montgomery,313543,182907,501561,62.51343306198049,36.46754831416318
46,PA,Montour,3768,5842,9766,38.58283841900471,59.81978292033586
47,PA,Northampton,84145,82830,168952,49.804086367725745,49.025758795397515
48,PA,Northumberland,12703,28975,42335,30.005905279319713,68.44218731546002
49,PA,Perry,5950,18293,24652,24.135972740548432,74.20493266266429
50,PA,Philadelphia,576275,128325,709271,81.2489161406571,18.09252034835768
51,PA,Pike,13052,19241,32616,40.017169487368164,58.99251900907531
52,PA,Potter,1686,7117,8901,18.94169194472531,79.9573081676216
53,PA,Schuylkill,20425,48100,69522,29.3791893213659,69.18673225741492
54,PA,Snyder,4910,13983,19140,25.653082549634277,73.05642633228841
55,PA,Somerset,8543,31105,40062,21.324447106984174,77.64215466027657
56,PA,Sullivan,921,2622,3599,25.59044178938594,72.85357043623229
57,PA,Susquehanna,6084,14879,21264,28.6117381489842,69.97272385252069
58,PA,Tioga,4959,15753,21091,23.51239865345408,74.69062633350718
59,PA,Union,7377,12342,20001,36.883155842207884,61.70691465426729
60,PA,Venango,7585,18569,26528,28.59243063932449,69.99773823884198
61,PA,Warren,5987,14020,20345,29.427377734087003,68.91128041287786
62,PA,Washington,44746,71397,117443,38.10018477048441,60.792895276857706
63,PA,Wayne,9191,18637,28089,32.720993983409876,66.34981665420628
64,PA,Westmoreland,71099,128596,202011,35.19560815995169,63.65791961823861
65,PA,Wyoming,4704,9936,14858,31.65971193969579,66.87306501547987
66,PA,York,85491,143415,232383,36.78883567214469,61.714927511909224
0,WI,Adams,4329,7362,11776,36.76120923913043,62.51698369565217
1,WI,Ashland,4801,3841,8712,55.1078971533517,44.088613406795226
2,WI,Barron,9194,15803,25259,36.39890732016311,62.563838631774814
3,WI,Bayfield,6147,4617,10844,56.6857248247879,42.57654002213205
4,WI,Brown,65509,75865,143203,45.74555002339336,52.97724209688345
5,WI,Buffalo,2860,4834,7774,36.78929765886287,62.18163107795215
6,WI,Burnett,3569,6462,10117,35.27725610358802,63.8726895324701
7,WI,Calumet,12116,18156,30635,39.54953484576465,59.2655459441815
8,WI,Chippewa,14001,21316,35804,39.10456932186348,59.53524745838453
9,WI,Clark,4524,10002,14694,30.78807676602695,68.06859942833809
10,WI,Columbia,16410,16927,33758,48.61069968600036,50.14218851827715
11,WI,Crawford,3953,4620,8665,45.620311598384305,53.317945758799766
12,WI,Dane,260157,78789,342612,75.93341739343632,22.996567545795244
13,WI,Dodge,16356,31355,48246,33.90125606267877,64.9898437176139
14,WI,Door,10044,9752,20027,50.15229440255655,48.694262745293855
15,WI,Douglas,13218,10923,24520,53.90701468189233,44.54730831973899
16,WI,Dunn,9897,13173,23438,42.22629917228433,56.20360098984555
17,WI,Eau Claire,31620,25341,57886,54.62460698614519,43.777424593165875
18,WI,Florence,781,2133,2936,26.600817438692097,72.64986376021798
19,WI,Fond du Lac,20588,35754,57028,36.1015641439293,62.695517991162234
20,WI,Forest,1722,3287,5042,34.15311384371281,65.19238397461325
21,WI,Grant,10998,14142,25490,43.14633189486073,55.48058061985092
22,WI,Green,10851,10169,21291,50.96519656192757,47.76196514959373
23,WI,Green Lake,3344,7168,10622,31.481830163810958,67.48258331764264
24,WI,Iowa,7828,5909,13898,56.32465102892502,42.51690890775651
25,WI,Iron,1533,2438,3997,38.353765323992995,60.995746810107576
26,WI,Jackson,4256,5791,10158,41.89801141957078,57.00925379011616
27,WI,Jefferson,19904,27209,47747,41.68638867363394,56.98577921125935
28,WI,Juneau,4747,8749,13638,34.807156474556386,64.15163513711688
29,WI,Kenosha,42191,44972,88200,47.83560090702948,50.98866213151927
30,WI,Kewaunee,3976,7927,12030,33.05070656691604,65.89359933499584
31,WI,La Crosse,37846,28684,67407,56.14550417612414,42.553444004331894
32,WI,Lafayette,3647,4821,8525,42.780058651026394,56.551319648093845
33,WI,Langlade,3704,7330,11128,33.28540618260244,65.86987778576564
34,WI,Lincoln,6261,10017,16453,38.05385036163618,60.88251382726555
35,WI,Manitowoc,16818,27218,44589,37.717822781403484,61.04196102177667
36,WI,Marathon,30808,44624,76361,40.34520239389217,58.43820798575189
37,WI,Marinette,7366,15304,22907,32.15610948618327,66.80927227485049
38,WI,Marquette,3239,5719,9036,35.84550686144311,63.291279327135896
39,WI,Menominee,1303,278,1587,82.10459987397606,17.51732829237555
40,WI,Milwaukee,317251,134355,455945,69.58098016208095,29.467369967868933
41,WI,Monroe,8432,13775,22464,37.535612535612536,61.32033475783476
42,WI,Oconto,6715,16226,23151,29.00522655608829,70.0876851971837
43,WI,Oneida,10105,13671,24059,42.00091441872065,56.82281059063137
44,WI,Outagamie,47667,58385,107621,44.2915416136256,54.25056448090986
45,WI,Ozaukee,26517,33912,61076,43.41639924029079,55.52426485035038
46,WI,Pepin,1489,2584,4124,36.10572259941804,62.65761396702231
47,WI,Pierce,9839,12903,23127,42.54334760236952,55.79193150862628
48,WI,Polk,9370,16611,26270,35.66806242862581,63.23182337266844
49,WI,Portage,20428,19299,40367,50.60569276884584,47.80885376669061
50,WI,Price,3032,5394,8524,35.57015485687471,63.280150164242144
51,WI,Racine,50159,54479,105838,47.392240972051624,51.473950754927344
52,WI,Richland,3995,4871,8968,44.54727921498662,54.315343443354145
53,WI,Rock,46649,37133,84876,54.961355389038125,43.74970545266035
54,WI,Rusk,2517,5257,7859,32.026975442168215,66.89146201806847
55,WI,St. Croix,23190,32199,56267,41.21421081628663,57.2253718876073
56,WI,Sauk,18108,17493,36042,50.2413850507741,48.53504245047445
57,WI,Sawyer,4494,5883,10437,43.05835010060362,56.36677206093705
58,WI,Shawano,7131,15173,22557,31.613246442346053,67.26515050760297
