,state,county,votes_16,votes_clinton_16,votes_trump_16,votes_dem_12,votes_rep_12,dem16_pct,rep16_pct,dem12_pct,rep12_pct,margin_16
0,GA,Spalding,25940,9347,15636,9898,14911,36.0331534309946,60.277563608326915,39.453125,59.434789540816325,6289
0,GA,Long,4109,1356,2623,1442,2306,33.00073010464833,63.83548308590898,37.92740662809047,60.65228826933193,1267
0,GA,Fayette,60387,23255,35034,19736,38075,38.509944193286636,58.015798102240545,33.69758229750034,65.00990301871329,11779
0,GA,Mitchell,7857,3492,4272,4081,4155,44.44444444444444,54.371897670866744,49.31722054380664,50.21148036253776,780
0,GA,Telfair,3794,1313,2449,1805,2480,34.607274644175014,64.54928835002636,41.62822878228782,57.19557195571956,1136
0,GA,Crawford,5157,1419,3632,1706,3368,27.515997673065733,70.42854372697305,33.23592441067601,65.61465030196766,2213
0,GA,Charlton,4008,1004,2950,1197,2527,25.0499001996008,73.60279441117764,31.801275239107333,67.13602550478215,1946
0,GA,Bleckley,4934,1094,3717,1269,3587,22.17267936765302,75.33441426834212,25.861014876706744,73.09965355614429,2623
0,GA,Meriwether,9181,3800,5216,4331,4856,41.38982681625095,56.81298333514868,46.750863557858374,52.417962003454235,1416
0,GA,Hart,10077,2583,7285,2870,6517,25.632628758559093,72.29334127220403,30.175586163389763,68.52066028808747,4702
0,GA,Emanuel,7838,2433,5330,2927,5100,31.041081908650163,68.00204133707578,36.2118025485587,63.095385376716564,2897
0,GA,Johnson,3682,1136,2519,1305,2440,30.85279739272135,68.41390548614883,34.597030752916226,64.68716861081654,1383
0,GA,Whitfield,30362,7925,21514,7210,19305,26.101706079968384,70.85830972926685,26.826908766185444,71.82988539961303,13589
0,GA,Gordon,18850,3176,15171,3440,13197,16.848806366047743,80.48275862068965,20.358643546191633,78.10262176717761,11995
0,GA,Decatur,10238,4104,6009,4591,5824,40.08595428794686,58.69310412189881,43.7863614687649,55.54601812112542,1905
0,GA,Lincoln,4100,1271,2759,1586,2807,31.0,67.29268292682927,35.83370989606868,63.42069588793493,1488
0,GA,Treutlen,2700,860,1808,1074,1652,31.851851851851855,66.96296296296296,39.054545454545455,60.07272727272728,948
0,GA,Oglethorpe,6650,1829,4622,1914,4251,27.503759398496243,69.50375939849624,30.5117168818747,67.76661884265901,2793
0,GA,Glynn,34041,11738,21482,11950,20893,34.4819482388884,63.10625422284891,36.06676123502249,63.057978450487425,9744
0,GA,Barrow,28828,6580,21105,6028,18725,22.825031219647567,73.21007353961426,23.921584189848804,74.30850430572642,14525
0,GA,Murray,12422,1799,10340,2542,8443,14.482369988729674,83.23941394300435,22.662030846037265,75.26967995007577,8541
0,GA,Rockdale,37589,23206,13463,22023,15716,61.73614621298784,35.81632924525792,57.825915714848364,41.26559012734673,-9743
0,GA,Madison,11945,2423,9195,2494,8443,20.2846379238175,76.97781498534953,22.460374639769455,76.03566282420749,6772
0,GA,McDuffie,9268,3699,5432,4044,5475,39.91152352179543,58.610271903323266,42.16013344453711,57.07881567973311,1733
0,GA,Floyd,34250,9127,24045,9640,22733,26.648175182481754,70.2043795620438,29.36428158031009,69.24670261049681,14918
0,GA,Walker,23939,4213,18938,5274,16247,17.598897197042483,79.1094030661264,24.08659115820241,74.20076726342711,14725
0,GA,Macon,4287,2705,1540,3211,1545,63.097737345463024,35.922556566363426,67.1616816565572,32.31541518510772,-1165
0,GA,Laurens,19448,6737,12401,7513,11950,34.641094199917724,63.7649115590292,38.32381146704754,60.956947561722096,5664
0,GA,Bacon,4010,607,3356,791,3093,15.13715710723192,83.69077306733168,20.12210633426609,78.68226914271177,2749
0,GA,Screven,5699,2300,3305,2774,3287,40.35795753640989,57.99263028601509,45.47540983606557,53.885245901639344,1005
0,AZ,Maricopa,1201934,549040,590465,602288,749885,45.6797128627695,49.12624154071688,43.61374957547618,54.30175696744074,41425
0,AZ,Gila,21398,6746,13672,7697,13455,31.526310870174783,63.89382185250958,35.6425098402408,62.306089372539944,6926
0,AZ,La Paz,4931,1318,3381,1880,3714,26.72885824376394,68.5662137497465,32.781168265039234,64.76024411508283,2063
0,AZ,Santa Cruz,14926,10684,3650,9486,4235,71.57979364866675,24.453972933136807,68.19064050032348,30.443533894040687,-7034
0,AZ,Coconino,44929,25308,16573,29257,21220,56.328874446348685,36.88708851743863,56.30460721296332,40.83753512181979,-8735
0,AZ,Yuma,40759,18336,20586,18059,23352,44.98638337545082,50.50663657106406,42.9230147600599,55.50352957954032,2250
0,AZ,Graham,11939,3301,8025,3609,8076,27.64888181589748,67.21668481447357,30.314993700125996,67.83704325913482,4724
0,AZ,Navajo,35409,15362,18165,16945,19884,43.38445028100201,51.3005168177582,45.22888028826905,53.07353529961297,2803
0,AZ,Cochise,43147,15291,25036,18546,29497,35.43931211903492,58.024891649477375,37.694355805776304,59.95203349525416,9745
0,AZ,Mohave,74189,16485,54656,19533,49168,22.220275242960547,73.67129897963311,27.77414401092026,69.91241041974747,38171
0,AZ,Pinal,93805,35737,53857,44306,62079,38.09711635840307,57.413783913437456,40.766640290020426,57.11985425369427,18120
0,AZ,Pima,360762,195649,147019,201251,174779,54.23215305381387,40.752351966116166,52.522228862680834,45.61360012318196,-48630
0,AZ,Apache,18659,12196,5315,17147,8250,65.36255962270218,28.484913446594135,66.16120692981441,31.83238800787128,-6881
0,AZ,Yavapai,92780,29705,58862,33918,64468,32.01659840482863,63.44255227419703,33.69326591633803,64.04084754686242,29157
0,AZ,Greenlee,3243,1092,1892,1310,1592,33.672525439407956,58.34104224483503,43.87139986604153,53.31547220361688,800
0,PA,Huntingdon,19496,4487,14369,5409,11979,23.01497743126795,73.70229790726303,30.665003685016156,67.91201315267305,9882
0,PA,Greene,14955,4157,10394,5852,8428,27.796723503844866,69.50183884988299,40.459070796460175,58.26880530973452,6237
0,PA,Clearfield,32692,7700,23909,11121,20347,23.553162853297444,73.13410008564787,34.789001157443614,63.65001407701693,16209
0,PA,Montour,8535,2851,5274,3053,4652,33.40363210310486,61.79261862917399,38.98608096028604,59.40492912782531,2423
0,PA,Jefferson,18551,3437,14533,4787,13048,18.527303110344455,78.34079025389467,26.451898104658227,72.10034812399844,11096
0,PA,Perry,21153,4630,15613,5685,13120,21.888148253202854,73.80986148536851,29.72082810539523,68.590547887913,10983
0,PA,Union,17400,6138,10605,6109,9896,35.275862068965516,60.94827586206897,37.55224981558889,60.83107941971969,4467
0,PA,Forest,2398,626,1680,896,1383,26.10508757297748,70.05838198498749,38.75432525951557,59.818339100346016,1054
0,PA,Wyoming,12418,3573,8375,5061,6587,28.772749234981475,67.44242229022387,42.62971698113208,55.483490566037744,4802
0,PA,Lancaster,239151,90066,137145,88481,130669,37.66072481402963,57.34661364577192,39.778183387581144,58.744537754679996,47079
0,PA,Luzerne,132731,51454,77508,64307,58325,38.765623705087734,58.39479850223385,51.677528749025626,46.87035414942261,26054
0,PA,Mercer,49594,17631,30034,24232,25925,35.55067145219179,60.55974513045933,47.64170418575389,50.970253425869494,12403
0,PA,Berks,175934,75169,93094,83011,84702,42.725681221367104,52.914160992190254,48.73825739783936,49.73109441052137,17925
0,PA,Northumberland,34971,9184,24418,13072,19518,26.26175974378771,69.82356809928227,39.359267734553775,58.767915211369385,15234
0,PA,Lawrence,40555,13933,25323,17513,21047,34.35581309333004,62.44112933053877,44.86371554462548,53.916897223076134,11390
0,PA,Armstrong,30446,6849,22676,9045,20142,22.49556591998949,74.47940616172897,30.555367880548612,68.04269981757989,15827
0,PA,Erie,117240,54820,57168,68036,49025,46.758785397475265,48.76151484135107,57.35674723273675,41.32980382569403,2348
0,PA,Schuylkill,62750,16724,43937,24546,32278,26.65179282868526,70.0191235059761,42.52083080707468,55.914909834219685,27213
0,PA,Adams,47138,14077,31249,15091,26767,29.863379863379862,66.29258772115915,35.54419765880773,63.044963139176105,17172
0,PA,Franklin,69345,17322,49554,18995,43260,24.979450573220852,71.46009085009733,30.11351025714195,68.58175592124037,32232
0,PA,York,203153,67428,126933,73191,113304,33.190747859987304,62.48147947605992,38.678532360261904,59.87665738338204,59505
0,PA,Beaver,79036,30225,46081,37055,42344,38.242066906219954,58.30381092160535,46.04592787732684,52.618236946094385,15856
0,PA,Bucks,342572,165861,163873,160521,156579,48.41639129876347,47.836075335987765,50.004049642385425,48.77607346674309,-1988
0,PA,Philadelphia,680227,560542,105418,588806,96467,82.40513828471965,15.497473637476903,85.2937810631773,13.974102128411609,-455124
0,PA,Monroe,65944,31930,31706,35221,26867,48.41987140604149,48.08018925148611,55.98010076767805,42.702290318991686,-224
0,PA,Dauphin,130160,64287,60620,64965,57450,49.39074984634296,46.57344806392133,52.38774917747242,46.327656280239985,-3667
